neuron_id,soma_x,soma_y,soma_z,celltype,column,intersomatic_distance
174241,32.115,253.804,-836.115,8,9,332.2547592571098
174243,-0.738,233.126,-812.562,8,9,295.40865160147223
174247,63.425,274.869,-830.562,8,9,345.82359634212355
174250,54.808,241.693,-813.986,8,9,324.1278786065771
174251,50.665,276.004,-788.913,7,9,304.9152826425727
174253,57.527,270.808,-817.105,8,9,330.922174979254
174263,115.66,240.839,-838.274,9,10,379.7827083188491
174265,109.783,256.544,-817.129,8,10,360.81532460387547
174269,121.186,253.838,-816.953,8,10,367.9725969090633
174270,146.405,242.19,-790.827,7,10,366.5382729224876
174277,156.673,254.755,-833.325,8,10,404.1541649296714
174278,169.29,260.32,-798.707,7,10,390.0532039247979
174279,145.907,269.095,-797.296,7,10,372.7202936506141
174285,236.142,263.531,-823.052,7,10,457.263456101622
174292,265.742,252.95,-816.566,7,10,476.4991560212883
174299,271.37,233.678,-830.115,8,10,488.2171594444423
174304,298.779,277.382,-810.938,8,10,502.8104131200944
174306,300.817,235.232,-792.014,8,10,492.1789819019093
174307,303.693,262.863,-803.853,7,10,501.9821758807777
174309,294.144,248.582,-836.497,7,10,510.9297719647975
174322,370.42,269.028,-790.596,7,10,554.4059959352893
174323,412.888,242.512,-824.74,7,10,606.2882376238218
174325,427.112,239.333,-834.101,7,10,623.1476710547829
174330,402.674,254.216,-819.353,7,10,595.1905372298858
174349,542.917,258.766,-800.155,8,11,715.4418666062254
174351,521.268,251.473,-800.069,7,11,694.9519681107465
174352,500.137,266.549,-830.645,9,11,688.2508523539944
174360,560.388,234.637,-797.106,7,11,730.0127117208303
174366,604.773,275.113,-826.428,7,11,783.4020500528449
174374,670.926,266.178,-807.097,9,11,838.5943395253751
174379,693.858,274.844,-800.49,7,11,858.8324125957287
174381,649.802,246.512,-837.21,9,11,828.0147202055045
174388,707.442,261.234,-826.165,7,11,879.0146885211874
174389,722.113,231.404,-813.242,7,11,888.2269795823588
174413,794.928,253.667,-818.076,7,11,959.6365323152303
174434,927.785,275.279,-811.939,7,11,1086.8271122391084
174663,-570.344,299.598,-824.315,9,8,531.6452433305503
174669,-531.622,282.286,-802.286,9,8,485.2914132611455
174702,-373.221,296.115,-819.127,9,8,377.2601319964779
